Token Name,Token Address,First Buy,Buy/Sell,WBNB Buy,Token Buy,Buy USD,WBNB Sell,Token Sell,Sell USD,Profit WBNB,Profit USD,Profit %
Shitoki Inu,0xf0b5267d6f9387459059404aac92a7fb9815a771,2023-01-29T16:04:56.000Z,1/1,0.01121167812540056,,,0.019049874963551146,,,0.007838196838150586,,69.91100485120776
WIKI AI,0x268f8818c7f89f839a0ce91d96ff6f8b8161e34d,2023-01-29T15:08:04.000Z,1/1,0.02,,,0.05766356274595975,,,0.03766356274595975,,188.31781372979876
Ryuge Inu,0x2a39e1f9e22c933aafdaf9e73732909af58dc9a2,2023-01-29T13:32:26.000Z,1/1,0.022186294897420782,,,0.11544403694816331,,,0.09325774205074253,,420.33941440841477
Virtual Reality,0x578b56037c355473c07289b76f394c33c9000000,2023-01-29T10:28:25.000Z,1/1,0.06,,,0.030301564647132104,,,-0.029698435352867893,,-49.497392254779825
Shibance,0xa9c78f1c241d2e33e2aab164880ea3be2f047d45,2023-01-29T00:11:59.000Z,1/1,0.05,,,0.08122970648380712,,,0.031229706483807115,,62.45941296761423
BeanLabs,0xf9f3645542342e309198c35d641d4366946aa7b4,2023-01-28T20:59:42.000Z,1/1,0.05,,,0.000461112589167049,,,-0.049538887410832955,,-99.07777482166591
Tharium,0x1c899c40fad8d0a60b108835c12fdd547958a5e6,2023-01-28T19:31:40.000Z,1/0,0.022914666549726008,,,0,,,-0.022914666549726008,,-100
QJMOON,0x29f4a22e0d2f1c6f9972d49f009a72e883111111,2023-01-28T12:28:20.000Z,1/1,0.06,,,0.13514275666684325,,,0.07514275666684325,,125.2379277780721
DOGEJIRU,0x8e1f4617d79329951c9fce5325df5cfff383f149,2023-01-28T11:40:51.000Z,1/1,0.002210487088107908,,,0.008007299793391504,,,0.005796812705283596,,262.2414189374635
AI Poocoin,0x4eed048e6873dbe0708e5fd19a544cda4ad4a6e2,2023-01-28T05:31:06.000Z,1/1,0.006201755397322713,,,0.022880964791177873,,,0.01667920939385516,,268.9433607951637
TEA-𝐓𝐨𝐤𝐞𝐧,0x3d5ea15f66487c5bc34679a6e90d06fd816765ff,2023-01-28T06:26:29.000Z,1/0,0.02,,,0,,,-0.02,,-100
Hiroyuki Inu,0x88c7c08012f777b6bdd9815206cd58566d2d2285,2023-01-27T18:13:45.000Z,1/1,0.04,,,0.05530429433327307,,,0.015304294333273072,,38.26073583318268
CryptoMines Eternal,0xd44fd09d74cd13838f137b590497595d6b3feea4,2023-01-27T18:00:00.000Z,1/0,0.00001,,,0,,,-0.00001,,-100
Rocky Inu,0x00346125e78fe0dff6dd9fde05e539b176ab0759,2023-01-26T20:00:58.000Z,1/1,0.05749016600052286,,,0.05665755700751334,,,-0.0008326089930095204,,-1.4482633308137396
Kitsune Inu,0xa4dff784aee0d073762ae2bb27da16a92b597d58,2023-01-26T17:58:00.000Z,1/1,0.02,,,0.025685211063266565,,,0.005685211063266565,,28.42605531633282
Rocky Inu,0x36f5aedfc4f4ba47dcb8a3d1158d7db6bbd4dbc0,2023-01-26T14:53:22.000Z,1/1,0.030281475527501225,,,0.022003857032591216,,,-0.00827761849491001,,-27.335585042388004
Tether USD,0x55d398326f99059ff775485246999027b3197955,2023-01-26T12:00:04.000Z,0/1,0,,,0.0398499097059596,,,0.0398499097059596,,Infinity
Tsuki Kara Inu,0x80a6c2e84051e0fa3a21c92fed9f0c8408ed12e7,2023-01-26T11:17:02.000Z,1/1,0.26,,,0.22606499394562488,,,-0.03393500605437513,,-13.051925405528896
Shibuki Inu,0x40faa472a859421941501f92849d4e085a52e9c9,2023-01-26T08:28:38.000Z,1/1,0.003907091357474053,,,0.009856418737203308,,,0.005949327379729255,,152.26998386788463
Pancake Inu,0x320d00f5338ddd8da70172e329dc9bd8a5bcdc93,2023-01-26T04:45:17.000Z,1/1,0.017739160930979315,,,0.019333255839360096,,,0.001594094908380781,,8.986303887670841
Mr.Tweet,0x4f19c4d636f0621f36622e1784dc98068e888888,2023-01-25T22:45:49.000Z,1/1,0.045,,,0.06898206857945936,,,0.023982068579459365,,53.29348573213193
Kaori,0x88af4c794ba5348071b593cf67bd0c5c2577d391,2023-01-24T16:29:42.000Z,1/1,0.002,,,0.003755302150936088,,,0.001755302150936088,,87.7651075468044
SHI TOSHI,0x83cbad46a1cf2b658b6d7e9a939f2ecdf67cab9c,2023-01-23T23:07:09.000Z,1/1,0.002,,,0.001916549673437909,,,-0.00008345032656209106,,-4.172516328104553
Shiboy,0x1d9998821b750567c3a038836d2bd2b743b8c766,2023-01-23T23:05:00.000Z,1/1,0.002,,,0.002205159792846282,,,0.00020515979284628201,,10.257989642314099
KAIK CAW,0xe8f01691c367d627584ad19effff2e4b89e695a6,2023-01-23T23:08:27.000Z,1/1,0.007,,,0.005906251065003727,,,-0.0010937489349962734,,-15.624984785661047
